part_number,quantity,material,procured_stock,length_mm,thickness_mm,bounds_local_mm,individual_export_guarded,status,notes
I_STD_M4x16_CSK,3,M4 countersunk steel screw,M4 countersunk steel screw,,,"[-4.48, -4.48, 0.0, 4.48, 4.48, 16.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,"ISO10642 M4x16 overall length, head diameter8.96 and height2.48;90deg conservative cone envelope. Supplier countersink diameter9.46 leaves0.25mm radial clearance. | https://www.accu.co.uk/countersunk-socket-head-screws/251236-SSK-M4-16-A2-R360"
I_HEAD_CLAMP_REAR,1,6061-T6 aluminium,6061-T6 aluminium,,,"[0.0, 0.0, 0.0, 90.0, 40.0, 30.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,FinishØ48 bore across matched assembled halves with0.5mm spacer in split. Rear half attaches through steel release plate. | FourM4 rear attachment taps depth12 usable; twoM4 pinch screws. Pinch torque must be set by actual torch allowable clamp load.
I_HEAD_CLAMP_FRONT,1,6061-T6 aluminium,6061-T6 aluminium,,,"[0.0, -0.0, -0.0, 90.0, 40.0, 30.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,FinishØ48 bore across matched assembled halves with0.5mm spacer in split. Rear half attaches through steel release plate. | FourM4 rear attachment taps depth12 usable; twoM4 pinch screws. Pinch torque must be set by actual torch allowable clamp load.
I_STD_M4x14_z_SOCKET,4,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-3.5, -3.5, 10.0, 3.5, 3.5, 28.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=151797
I_STD_M4x40_z_SOCKET,2,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-3.5, -3.5, 0.0, 3.5, 3.5, 44.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=151797
I_HEAD_INSERT_REAR,1,Machinable insulating insert blank; grade/temperature verify,Machinable insulating insert blank; grade/temperature verify,,,"[6.0013, -0.0, 6.0, 53.9987, 40.0, 29.75]",True,MEASURED INTERFACE REQUIRED - INDIVIDUAL EXPORT GUARDED,"Default is an unbored physical split blank, not an assumed torch diameter. | Bore only from explicit diameter/roundness/40mm straight-zone record. Actual torch thermal limits and allowed clamp force remain required."
I_HEAD_INSERT_FRONT,1,Machinable insulating insert blank; grade/temperature verify,Machinable insulating insert blank; grade/temperature verify,,,"[6.0013, -0.0, 0.0, 53.9987, 40.0, 23.75]",True,MEASURED INTERFACE REQUIRED - INDIVIDUAL EXPORT GUARDED,"Default is an unbored physical split blank, not an assumed torch diameter. | Bore only from explicit diameter/roundness/40mm straight-zone record. Actual torch thermal limits and allowed clamp force remain required."
I_HEAD_SPLASH_SCREEN,1,304 stainless 1.5mm,304 stainless 1.5mm,,1.5,"[0.0, 0.0, 0.0, 110.0, 60.5, 1.5]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Flat110x60.5x1.5 screen, Ø50 clearance opening. Weld two separate10x10x1.5 tabs; no unspecified bends. | Does not replace thermal qualification: magnet maximum80C and actual insert/lead temperatures must be measured. No aluminum-water plasma cutting is authorized by this model."
I_HEAD_SPLASH_TAB_5,1,304 stainless 1.5mm,304 stainless 1.5mm,,1.5,"[0.0, 0.0, 0.0, 10.0, 10.0, 1.5]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Bottom10mm edge welded to screen rear upper edge; local hole at5,6."
I_STD_M3x6_z_SOCKET,8,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-2.75, -2.75, 0.0, 2.75, 2.75, 9.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=642039
I_HEAD_SPLASH_TAB_105,1,304 stainless 1.5mm,304 stainless 1.5mm,,1.5,"[0.0, 0.0, 0.0, 10.0, 10.0, 1.5]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Bottom10mm edge welded to screen rear upper edge; local hole at5,6."
I_HEAD_FLOAT_CAM,1,Acetal cam,Acetal cam,,,"[0.0, -0.0, 0.0, 22.0, 32.0, 16.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Pin mount datum39.5; conservative2.2mm pin has lowest contact edge atY111.55. Ramp crosses real switch range at1.0..1.65mm float. | Dwell maintains6.1mm normal position from the datum through remaining travel; TTPmax5.1 leaves1mm mechanical reserve. | Probe initially at1mm/s and calibrate actual offset and stopping distance. Cam clears a defined corner relief in the release plate.
I_STD_M3x10_z_SOCKET,4,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-2.75, -2.75, 0.0, 2.75, 2.75, 13.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=642039
OMRON_D2HW_C202MR,1,Omron sealed switch mating envelope,Omron sealed switch mating envelope,,,"[0.0, -1.5, 0.0, 18.5, 6.8, 6.5]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,"https://omronfs.omron.com/en_US/ecb/products/pdf/en-d2hw.pdf | 18.5x5.3x6.5 conservative case; M3mount centers13mm. Locating postØ3 projects1.5. | Pin-plunger operating position6.4±0.2 from mount datum; FPmax7.2 / TTPmax5.1. IP67 body, protect unsealed lead ends."
I_SWITCH_PLUNGER_FLOAT_SWITCH,1,Switch plunger kinematic envelope,Switch plunger kinematic envelope,,,"[-1.1, -1.1, 0.0, 1.1, 1.1, 4.2]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
I_HEAD_FLOAT_SWITCH_BRACKET,1,6061-T6 aluminium machined L bracket,6061-T6 aluminium machined L bracket,,,"[0.0, -0.0, 0.0, 26.0, 14.0, 8.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Upper mounting face faces the switch.13mm M3/post centers; foot supports from upper guide crossbar front.
I_STD_M3x10_y_SOCKET,4,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-2.75, -3.0, -2.75, 2.75, 10.0, 2.75]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=642039
I_HEAD_FLOAT_SWITCH_FOOT_SPACER_0,1,Aluminium spacer,Aluminium spacer,,,"[-3.0, -3.0, 0.0, 3.0, 3.0, 0.775]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,
I_STD_M3x8_z_SOCKET,2,"Steel ISO4762 socket screw, nominal thread envelope","Steel ISO4762 socket screw, nominal thread envelope",,,"[-2.75, -2.75, 0.0, 2.75, 2.75, 11.0]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,Specified unknurled socket heads: M3 diameter5.5/height3; M4 diameter7/height4. Enlarged knurled heads require new clearance check. | https://www.accu.co.uk/api/product-datasheet?id=642039
I_HEAD_FLOAT_SWITCH_FOOT_SPACER_1,1,Aluminium spacer,Aluminium spacer,,,"[-3.0, -3.0, 0.0, 3.0, 3.0, 0.775]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,
OMRON_D2HW_C203MR,3,Omron sealed switch mating envelope,Omron sealed switch mating envelope,,,"[0.0, -1.5, 0.0, 18.5, 6.8, 6.5]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,"https://omronfs.omron.com/en_US/ecb/products/pdf/en-d2hw.pdf | 18.5x5.3x6.5 conservative case; M3mount centers13mm. Locating postØ3 projects1.5. | Pin-plunger operating position6.4±0.2 from mount datum; FPmax7.2 / TTPmax5.1. IP67 body, protect unsealed lead ends."
I_SWITCH_PLUNGER_PRESENCE_LEFT,1,Switch plunger kinematic envelope,Switch plunger kinematic envelope,,,"[-1.1, -1.1, 0.0, 1.1, 1.1, 2.8]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
I_HEAD_PRESENCE_LEFT_BRACKET,1,6061-T6 aluminium machined L bracket,6061-T6 aluminium machined L bracket,,,"[0.0, 0.0, 0.0, 26.0, 14.0, 8.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"6mm thick upright tappedM3; Ø3.05 locating pocket and screw centers13.0. TwoM3 feet fasten into supporting plate/body. | Locating post pocket is clearance in this envelope; fit switch and set trip using measured shim stack, then record installed actuation."
I_SWITCH_PLUNGER_PRESENCE_RIGHT,1,Switch plunger kinematic envelope,Switch plunger kinematic envelope,,,"[-1.1, -1.1, 0.0, 1.1, 1.1, 2.8]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
I_HEAD_PRESENCE_RIGHT_BRACKET,1,6061-T6 aluminium machined L bracket,6061-T6 aluminium machined L bracket,,,"[0.0, 0.0, 0.0, 26.0, 14.0, 8.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"6mm thick upright tappedM3; Ø3.05 locating pocket and screw centers13.0. TwoM3 feet fasten into supporting plate/body. | Locating post pocket is clearance in this envelope; fit switch and set trip using measured shim stack, then record installed actuation."
I_SWITCH_PLUNGER_PRESENCE_TOP,1,Switch plunger kinematic envelope,Switch plunger kinematic envelope,,,"[-1.1, -1.1, 0.0, 1.1, 1.1, 2.8]",True,PURCHASED ENVELOPE - VERIFY INTERFACE,
I_HEAD_PRESENCE_TOP_BRACKET,1,6061-T6 aluminium machined L bracket,6061-T6 aluminium machined L bracket,,,"[0.0, 0.0, 0.0, 36.0, 14.0, 8.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"6mm thick upright tappedM3; Ø3.05 locating pocket and screw centers13.0. TwoM3 feet fasten into supporting plate/body. | Locating post pocket is clearance in this envelope; fit switch and set trip using measured shim stack, then record installed actuation."
I_HEAD_LEAD_SADDLE,1,Aluminium fixed lead saddle,Aluminium fixed lead saddle,,,"[0.0, 0.0, 0.0, 32.0, 12.0, 15.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,"Open saddle accepts reusable insulated strap up to20mm wide. Fixed upper-crossbar attachment takes supply-lead drag off floating carriage. | Actual lead OD, minimum bend radius, slack loop and strap selection remain measurement inputs. No unmeasured cable is modeled."
I_HEAD_TETHER_EYE_FIXED,1,6061-T6 aluminium eye block,6061-T6 aluminium eye block,,,"[0.0, 0.0, 0.0, 12.0, 16.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Separate4mm tether passage and4.5mm screw clearance. Fit rated nonconductive tether with enough slack for6mm float/8mm normal release; qualify arrest load.
I_HEAD_TETHER_EYE_RELEASE,1,6061-T6 aluminium eye block,6061-T6 aluminium eye block,,,"[0.0, -0.0, 0.0, 16.0, 12.0, 12.0]",False,ENGINEERING DEFINITION - REVIEW BEFORE FABRICATION,Separate4mm tether passage and4.5mm screw clearance. Fit rated nonconductive tether with enough slack for6mm float/8mm normal release; qualify arrest load.
